Brand,Model,Year,KM_Driven,Fuel_Type,Transmission,Owner,Engine_CC,Mileage_kmpl,Current_Market_Price,Selling_Price
Hyundai,i20,2021,106089,Diesel,Manual,3,1332,12.8,1465185,1132303
Ford,EcoSport,2012,54792,Petrol,Automatic,3,1662,17.8,1519692,961465
Ford,EcoSport,2013,72228,Petrol,Manual,3,1818,13.7,1824434,1101614
Tata,Altroz,2018,35275,Diesel,Manual,3,2015,15.3,1023284,744078
Maruti,Swift,2016,118217,Diesel,Manual,1,2374,25.0,1552589,1135246
Kia,Seltos,2013,75581,Petrol,Automatic,1,1061,16.2,845248,166734
Tata,Altroz,2012,56088,Petrol,Automatic,0,1702,19.1,1564488,1069579
Honda,City,2021,7514,Petrol,Manual,1,2225,13.3,1120495,1023275
Hyundai,Venue,2016,140630,Petrol,Manual,2,2358,18.1,1735313,1152652
Ford,Figo,2023,92160,Petrol,Automatic,3,2117,19.4,1367483,1111557
Ford,EcoSport,2023,136041,Diesel,Automatic,0,1281,21.0,980177,615179
Tata,Altroz,2015,115914,Petrol,Manual,0,1845,17.0,1338244,621486
Ford,Figo,2013,17671,Diesel,Manual,1,1503,15.1,1459639,989741
Hyundai,Venue,2018,40226,Diesel,Automatic,1,926,19.2,1012671,722618
Toyota,Glanza,2012,26890,Petrol,Manual,2,2063,15.8,1683741,1175325
Maruti,Swift,2015,64452,Petrol,Automatic,3,1972,24.2,1195990,798636
Hyundai,i20,2018,87190,Diesel,Manual,2,1385,23.3,1518007,1105774
Kia,Sonet,2021,69231,Petrol,Manual,3,2188,22.6,1619258,1398752
Toyota,Glanza,2022,144552,Diesel,Manual,3,1441,19.4,645204,236673
Ford,EcoSport,2017,80310,Petrol,Manual,2,2466,24.2,690442,203214
Hyundai,Venue,2023,122748,Diesel,Automatic,0,1359,20.7,1647891,1333747
Maruti,Swift,2021,145234,Petrol,Automatic,3,1110,17.0,1448477,1076481
Mahindra,XUV300,2013,69790,Diesel,Manual,0,1043,20.8,543760,100000
Tata,Altroz,2015,100135,Petrol,Manual,2,1434,19.0,1970155,1441325
Kia,Seltos,2013,146264,Petrol,Automatic,1,1186,20.5,766054,147354
Honda,City,2015,35944,Diesel,Automatic,2,2267,24.4,972198,475210
Tata,Nexon,2014,127453,Petrol,Automatic,3,2403,22.5,828737,122094
Ford,Figo,2022,60971,Petrol,Automatic,2,906,15.7,1779432,1567019
Tata,Nexon,2018,63301,Petrol,Manual,0,2169,13.0,1320107,880059
Honda,City,2022,23149,Diesel,Automatic,2,1266,22.3,1069118,920184
Ford,Figo,2021,117738,Petrol,Automatic,0,830,16.7,1816893,1391425
Honda,Amaze,2019,43492,Diesel,Automatic,0,1096,20.9,597652,332024
Toyota,Innova,2015,136479,Diesel,Manual,0,1245,21.2,1909588,1385220
Ford,Figo,2020,143987,Petrol,Manual,2,1366,13.4,1534816,1029637
Ford,EcoSport,2018,54593,Diesel,Automatic,0,2058,12.5,1706623,1365919
Toyota,Innova,2023,143603,Diesel,Manual,3,848,24.1,737101,384107
Ford,Figo,2015,81130,Petrol,Manual,2,1547,17.3,1696423,1233013
Kia,Sonet,2018,63715,Diesel,Manual,0,1957,18.0,1093895,657954
Mahindra,XUV300,2021,50774,Diesel,Manual,1,911,12.3,1385513,1132081
Mahindra,XUV300,2019,64827,Petrol,Automatic,0,1998,12.6,1980467,1557743
Ford,EcoSport,2016,127211,Diesel,Manual,3,2497,18.4,1726576,1281525
Toyota,Innova,2014,95230,Diesel,Automatic,0,909,15.9,1313423,693237
Honda,City,2018,12330,Petrol,Automatic,1,1198,15.7,588507,302117
Maruti,Dzire,2014,70329,Diesel,Manual,2,1811,22.1,514164,100000
Toyota,Glanza,2021,50986,Diesel,Manual,0,2179,23.8,1542423,1354087
Mahindra,XUV300,2016,72463,Petrol,Manual,0,1967,17.2,1620210,1255090
Maruti,Dzire,2018,101568,Petrol,Manual,2,1366,19.2,638033,241592
Honda,Amaze,2012,56061,Diesel,Manual,3,2078,19.4,901830,383536
Kia,Sonet,2016,7846,Diesel,Manual,2,1740,19.0,1965694,1534175
Kia,Sonet,2013,34961,Petrol,Manual,2,1910,15.9,698623,169737
Toyota,Innova,2012,21576,Petrol,Automatic,2,1793,14.5,704125,379952
Hyundai,Creta,2021,46707,Petrol,Automatic,2,2366,14.4,1516744,1264826
Tata,Altroz,2012,129286,Petrol,Manual,0,1582,15.2,667782,100000
Honda,Amaze,2023,42204,Diesel,Automatic,2,2026,24.1,1420261,1270509
Tata,Altroz,2014,48327,Petrol,Manual,1,1142,17.9,1832302,1269578
Ford,Figo,2020,14697,Diesel,Automatic,1,1684,23.0,1427370,1148896
Honda,City,2020,62246,Diesel,Manual,0,1984,18.2,1460374,1133842
Maruti,Baleno,2012,105167,Petrol,Automatic,0,1997,20.0,1515860,805832
Ford,Figo,2012,50590,Petrol,Manual,0,1300,15.2,939451,575502
Maruti,Baleno,2012,60427,Diesel,Automatic,0,1854,15.5,1712268,1042346
Toyota,Glanza,2016,126024,Diesel,Automatic,3,2214,12.6,1443954,809181
Ford,Figo,2012,27560,Diesel,Automatic,3,1416,23.7,1931036,1415326
Ford,Figo,2020,149793,Petrol,Automatic,2,1400,23.2,1158864,667273
Mahindra,XUV300,2017,121967,Diesel,Automatic,1,1269,24.8,964559,438825
Kia,Seltos,2022,35388,Diesel,Manual,0,1304,22.4,1679113,1505473
Hyundai,i20,2019,89251,Diesel,Manual,3,1403,24.7,1826152,1465490
Toyota,Glanza,2016,12271,Diesel,Automatic,2,2269,20.6,1044254,749982
Kia,Sonet,2019,108343,Diesel,Automatic,1,866,19.5,1003767,562933
Honda,Amaze,2014,16549,Diesel,Manual,0,2413,17.4,1932627,1545802
Kia,Sonet,2015,73244,Diesel,Manual,0,1604,13.4,1636695,1009407
Tata,Altroz,2015,31787,Diesel,Automatic,2,1374,16.5,1765524,1382750
Honda,Amaze,2013,135411,Diesel,Manual,1,1198,24.2,993698,230576
Maruti,Baleno,2022,49279,Diesel,Manual,1,1381,12.0,1668627,1447489
Toyota,Innova,2020,76360,Petrol,Automatic,2,1062,18.5,1140461,771606
Hyundai,Venue,2019,73698,Diesel,Manual,1,1985,19.8,1597027,1269721
Tata,Nexon,2022,65846,Petrol,Manual,3,1303,22.8,1103956,860925
Toyota,Glanza,2019,136758,Diesel,Manual,0,2119,22.9,1111620,624828
Ford,Figo,2021,42008,Diesel,Manual,1,1402,17.1,1109925,908373
Toyota,Glanza,2013,23666,Diesel,Manual,2,2284,19.5,732817,348633
Ford,Figo,2016,129818,Diesel,Manual,3,978,24.9,1296238,814446
Maruti,Baleno,2014,97018,Diesel,Automatic,2,993,15.6,1589867,1022282
Honda,Amaze,2013,64999,Diesel,Manual,3,2191,16.5,1411163,1006365
Maruti,Dzire,2013,90764,Diesel,Manual,3,1584,21.4,932396,447088
Hyundai,Creta,2018,148416,Petrol,Automatic,2,1105,20.8,1095129,462899
Honda,City,2019,63041,Diesel,Manual,3,830,17.7,600980,229654
Kia,Sonet,2023,138456,Petrol,Automatic,1,2297,18.8,1340372,1016694
Honda,City,2016,11716,Petrol,Manual,0,1279,22.3,1093238,655833
Mahindra,Scorpio,2015,53076,Diesel,Manual,1,1577,12.3,943608,477016
Ford,EcoSport,2020,110662,Petrol,Automatic,2,2045,21.8,728217,271193
Mahindra,XUV300,2017,144367,Diesel,Automatic,2,1010,23.8,1329287,728689
Hyundai,i20,2020,87073,Petrol,Automatic,0,1132,21.1,1876862,1466171
Toyota,Glanza,2017,79491,Petrol,Automatic,0,1282,23.8,1962237,1551431
Ford,EcoSport,2012,78472,Diesel,Automatic,3,1569,24.6,964897,440053
Honda,Amaze,2018,141803,Petrol,Manual,1,893,17.6,1361897,890082
Honda,Amaze,2018,17651,Petrol,Manual,1,2423,21.8,1642661,1402168
